site,group,afdm,chla
B1,burned,0.0014,20.19670995
B1,burned,0.0007,12.92589437
B1,burned,0.0043,2.827539394
B1,burned,0.0006,432.209593
B1,burned,0.0042,193.8884156
B1,burned,0.0018,167.6326926
B1,burned,0.0011,367.5801212
B1,burned,0.0008,13.73376277
B1,burned,0.0056,169.6523636
B1,burned,0.0011,9.694420778
B2,burned,0.0074,11.31015757
B2,burned,0.0004,53.72324848
B2,burned,0.0034,4.44327619
B2,burned,0.0013,75.93962943
B2,burned,0.0017,140.5691013
B2,burned,0.0003,46.85636709
B2,burned,0.0031,80.78683981
B2,burned,0.001,20.19670995
B2,burned,0.0043,174.499574
B2,burned,0.0001,149.8595879
B3,burned,0.0039,33.12260432
B3,burned,0.0012,141.7809039
B3,burned,0.0034,181.7703896
B3,burned,0.0007,755.3569523
B3,burned,0.0028,36.75801212
B3,burned,0.0005,81.59470821
B3,burned,0.0009,315.0686753
B3,burned,0.0005,79.57503722
B3,burned,0.0002,100.1756814
B3,burned,0.0034,577.6259047
B4,burned,0.0019,154.302864
B4,burned,0.0017,141.3769697
B4,burned,0.0004,153.4949956
B4,burned,0.0006,105.426826
B4,burned,0.0024,32.71867012
B4,burned,0.0012,149.4556537
B4,burned,0.0069,64.22553765
B4,burned,0.0006,367.5801212
B4,burned,0.0038,19.79277575
B4,burned,0.0011,122.7959965
U5,unburned,0,2.019670995
U5,unburned,0,5.251144588
U5,unburned,0.0003,0.807868398
U5,unburned,0.0008,0.403934199
U5,unburned,0.0005,1.211802597
U5,unburned,0.0004,1.211802597
U5,unburned,0.0005,0
U5,unburned,0.0007,46.85636709
U5,unburned,0.0006,1.211802597
U5,unburned,0.0002,100.9835498
U6,unburned,0,2.019670995
U6,unburned,0.0008,1.211802597
U6,unburned,0.0006,0.403934199
U6,unburned,0.0006,3.231473593
U6,unburned,0.0008,20.19670995
U6,unburned,0.0004,1.211802597
U6,unburned,0.0002,113.1015757
U6,unburned,0.0003,2.827539394
U6,unburned,0.0005,1.211802597
U6,unburned,0.0007,0.403934199
U7,unburned,0.0005,0.807868398
U7,unburned,0.0001,2.423605194
U7,unburned,-1.00E-04,11.71409177
U7,unburned,0.0005,84.82618181
U7,unburned,1.00E-04,4.039341991
U7,unburned,0.0003,4.039341991
U7,unburned,0.0004,1.211802597
U7,unburned,0,13.32982857
U7,unburned,0.0003,0.403934199
U7,unburned,1.00E-04,2.019670995
U8,unburned,0.0003,3.635407792
U8,unburned,0.0001,18.58097316
U8,unburned,0.0003,3.635407792
U8,unburned,0.0003,0.807868398
U8,unburned,0.0007,4.039341991
U8,unburned,0,32.31473593
U8,unburned,0.0002,2.827539394
U8,unburned,0.0009,2.019670995
U8,unburned,0,7.270815583
U8,unburned,0.0003,20.19670995
