site,afdm,chla
Site1,0.0014,20.19670995
Site1,0.0007,12.92589437
Site1,0.0043,2.827539394
Site1,0.0006,432.209593
Site1,0.0042,193.8884156
Site1,0.0018,167.6326926
Site1,0.0011,367.5801212
Site1,0.0008,13.73376277
Site1,0.0056,169.6523636
Site1,0.0011,9.694420778
Site2,0.0074,11.31015757
Site2,0.0004,53.72324848
Site2,0.0034,4.44327619
Site2,0.0013,75.93962943
Site2,0.0017,140.5691013
Site2,0.0003,46.85636709
Site2,0.0031,80.78683981
Site2,0.001,20.19670995
Site2,0.0043,174.499574
Site2,0.0001,149.8595879
Site3,0.0039,33.12260432
Site3,0.0012,141.7809039
Site3,0.0034,181.7703896
Site3,0.0007,755.3569523
Site3,0.0028,36.75801212
Site3,0.0005,81.59470821
Site3,0.0009,315.0686753
Site3,0.0005,79.57503722
Site3,0.0002,100.1756814
Site3,0.0034,577.6259047
Site4,0.0019,154.302864
Site4,0.0017,141.3769697
Site4,0.0004,153.4949956
Site4,0.0006,105.426826
Site4,0.0024,32.71867012
Site4,0.0012,149.4556537
Site4,0.0069,64.22553765
Site4,0.0006,367.5801212
Site4,0.0038,19.79277575
Site4,0.0011,122.7959965
Site5,0,2.019670995
Site5,0,5.251144588
Site5,0.0003,0.807868398
Site5,0.0008,0.403934199
Site5,0.0005,1.211802597
Site5,0.0004,1.211802597
Site5,0.0005,0
Site5,0.0007,46.85636709
Site5,0.0006,1.211802597
Site5,0.0002,100.9835498
Site6,0,2.019670995
Site6,0.0008,1.211802597
Site6,0.0006,0.403934199
Site6,0.0006,3.231473593
Site6,0.0008,20.19670995
Site6,0.0004,1.211802597
Site6,0.0002,113.1015757
Site6,0.0003,2.827539394
Site6,0.0005,1.211802597
Site6,0.0007,0.403934199
Site7,0.0005,0.807868398
Site7,0.0001,2.423605194
Site7,-1.00E-04,11.71409177
Site7,0.0005,84.82618181
Site7,1.00E-04,4.039341991
Site7,0.0003,4.039341991
Site7,0.0004,1.211802597
Site7,0,13.32982857
Site7,0.0003,0.403934199
Site7,1.00E-04,2.019670995
Site8,0.0003,3.635407792
Site8,0.0001,18.58097316
Site8,0.0003,3.635407792
Site8,0.0003,0.807868398
Site8,0.0007,4.039341991
Site8,0,32.31473593
Site8,0.0002,2.827539394
Site8,0.0009,2.019670995
Site8,0,7.270815583
Site8,0.0003,20.19670995
