Site,Transect (m),Number,Pre-ash weight,Post ash weight,Ash Free Dry Mass
1,5,271,0.036,0.0346,0.0014
1,15,272,0.0354,0.0347,0.0007
1,25,273,0.0444,0.0401,0.0043
1,35,274,0.0364,0.0358,0.0006
1,45,275,0.0424,0.0382,0.0042
1,55,276,0.041,0.0392,0.0018
1,65,277,0.0373,0.0362,0.0011
1,75,278,0.0357,0.0349,0.0008
1,85,279,0.0398,0.0342,0.0056
1,95,280,0.0361,0.035,0.0011
2,5,281,0.0436,0.0362,0.0074
2,15,282,0.0334,0.033,0.0004
2,25,283,0.041,0.0376,0.0034
2,35,284,0.0358,0.0345,0.0013
2,45,285,0.0373,0.0356,0.0017
2,55,286,0.0341,0.0338,0.0003
2,65,287,0.0369,0.0338,0.0031
2,75,288,0.035,0.034,0.001
2,85,289,0.0372,0.0329,0.0043
2,95,290,0.0325,0.0324,0.0001
3,5,291,0.0388,0.0349,0.0039
3,15,292,0.0362,0.035,0.0012
3,25,293,0.0376,0.0342,0.0034
3,35,294,0.0329,0.0322,0.0007
3,45,295,0.0403,0.0375,0.0028
3,55,296,0.0346,0.0341,0.0005
3,65,297,0.0347,0.0338,0.0009
3,75,298,0.0363,0.0358,0.0005
3,85,299,0.0325,0.0323,0.0002
3,95,300,0.0392,0.0358,0.0034
4,5,301,0.0369,0.035,0.0019
4,15,302,0.0356,0.0339,0.0017
4,25,303,0.0337,0.0333,0.0004
4,35,304,0.0354,0.0348,0.0006
4,45,305,0.0396,0.0372,0.0024
4,55,306,0.0356,0.0344,0.0012
4,65,307,0.0427,0.0358,0.0069
4,75,308,0.0356,0.035,0.0006
4,85,309,0.0397,0.0359,0.0038
4,95,310,0.0365,0.0354,0.0011
5,5,81,0.0328,0.0328,0
5,15,82,0.0333,0.0333,0
5,25,83,0.0348,0.0345,0.0003
5,35,84,0.036,0.0352,0.0008
5,45,85,0.0353,0.0348,0.0005
5,55,86,0.0324,0.032,0.0004
5,65,87,0.0329,0.0324,0.0005
5,75,88,0.0348,0.0341,0.0007
5,85,89,0.0326,0.032,0.0006
5,95,90,0.0343,0.0341,0.0002
6,5,91,0.0344,0.0344,0
6,15,92,0.0356,0.0348,0.0008
6,25,93,0.0328,0.0322,0.0006
6,35,94,0.0327,0.0321,0.0006
6,45,95,0.0344,0.0336,0.0008
6,55,96,0.0337,0.0333,0.0004
6,65,97,0.0328,0.0326,0.0002
6,75,98,0.0342,0.0339,0.0003
6,85,99,0.0346,0.0341,0.0005
6,95,100,0.032,0.0313,0.0007
7,5,101,0.0348,0.0343,0.0005
7,15,102,0.035,0.0349,0.0001
7,25,103,0.0347,0.0348,-1E-04
7,35,104,0.0348,0.0343,0.0005
7,45,105,0.0351,0.035,1E-04
7,55,106,0.0346,0.0343,0.0003
7,65,107,0.0352,0.0348,0.0004
7,75,108,0.0338,0.0338,0
7,85,109,0.036,0.0357,0.0003
7,95,110,0.0343,0.0342,1E-04
8,5,321,0.0329,0.0326,0.0003
8,15,322,0.033,0.0329,0.0001
8,25,323,0.0323,0.032,0.0003
8,35,324,0.0332,0.0329,0.0003
8,45,325,0.0323,0.0316,0.0007
8,55,326,0.0343,0.0343,0
8,65,327,0.0325,0.0323,0.0002
8,75,328,0.0353,0.0344,0.0009
8,85,329,0.034,0.034,0
8,95,330,0.0343,0.034,0.0003
