Site,Transect (m),Flour before acid (Rb),Flour after acid (Ra),Flour Difference (before-after),Dilution,Diff*Dilution,Gain,Fs,Tau,mls DI,mls Filtered,area sampled (cm2),chla in extract (ug),area filtered (cm2),chla ug/cm2,chla mg/m2
1,5,101,96,5,10,50,10,25,35,500,100,15.9279,64.34,3.18558,20.19670995,201.9670995
1,15,173,141,32,1,32,10,25,35,500,100,15.9279,41.18,3.18558,12.92589437,129.2589437
1,25,14,7,7,1,7,10,25,35,500,100,15.9279,9.01,3.18558,2.827539394,28.27539394
1,35,194,87,107,10,1070,10,25,35,500,100,15.9279,1376.84,3.18558,432.209593,4322.09593
1,45,91,43,48,10,480,10,25,35,500,100,15.9279,617.65,3.18558,193.8884156,1938.884156
1,55,763,348,415,1,415,10,25,35,500,100,15.9279,534.01,3.18558,167.6326926,1676.326926
1,65,169,78,91,10,910,10,25,35,500,100,15.9279,1170.96,3.18558,367.5801212,3675.801212
1,75,89,55,34,1,34,10,25,35,500,100,15.9279,43.75,3.18558,13.73376277,137.3376277
1,85,111,69,42,10,420,10,25,35,500,100,15.9279,540.44,3.18558,169.6523636,1696.523636
1,95,48,24,24,1,24,10,25,35,500,100,15.9279,30.88,3.18558,9.694420778,96.94420778
2,5,69,41,28,1,28,10,25,35,500,100,15.9279,36.03,3.18558,11.31015757,113.1015757
2,15,265,132,133,1,133,10,25,35,500,100,15.9279,171.14,3.18558,53.72324848,537.2324848
2,25,20,9,11,1,11,10,25,35,500,100,15.9279,14.15,3.18558,4.44327619,44.4327619
2,35,361,173,188,1,188,10,25,35,500,100,15.9279,241.91,3.18558,75.93962943,759.3962943
2,45,823,475,348,1,348,10,25,35,500,100,15.9279,447.79,3.18558,140.5691013,1405.691013
2,55,294,178,116,1,116,10,25,35,500,100,15.9279,149.26,3.18558,46.85636709,468.5636709
2,65,476,276,200,1,200,10,25,35,500,100,15.9279,257.35,3.18558,80.78683981,807.8683981
2,75,136,86,50,1,50,10,25,35,500,100,15.9279,64.34,3.18558,20.19670995,201.9670995
