Site,S1,S2,S3,S4,S5,S6,S7,S8
Reach Length,100m,100m,100m,100m,100m,100m,100m,100m
GMM  Cond.,1.771565989,1.947853188,1.433970414,1.632373114,1.820664543,1.966317706,2.5872,2.649526608
,1.79499992,2.074538083,1.638598088,1.526562182,2.014031083,1.92,1.602201243,1.69091199
,1.472303207,1.94640387,1.509301068,1.807009558,1.812792591,1.820664543,2.467632218,1.898957445
,1.236656183,1.854380553,1.25775089,1.676666393,1.801547383,2.014031083,1.9968,1.77244814
,1.065289484,1.854380553,1.635850858,1.781924803,1.919639108,1.749018021,1.734805219,1.789663543
,1.621585308,1.776795057,1.09375,1.743050338,2.638598088,1.795433614,1.949246411,1.840721262
,1.071840815,1.637402117,1.669588446,2.277696793,2.334997202,1.978636811,1.886626335,2.69997195
,2.03606311,1.898148148,1.854380553,2.051913409,1.99168,1.73828125,1.760894065,2.186187816
,1.120225253,1.714677641,3.429355281,2.159593996,2.602172852,1.896296296,1.669474809,1.933609953
,2.01167961,1.865569273,1.755829904,1.871973759,2.59594099,1.749185834,2.616349327,2.477050781
,1.319754807,1.526562182,1.5625,2.003612864,1.850375142,1.749271137,2.043845196,2.704531619
,1.15901636,1.550995062,1.83003766,2.028175008,2.675011379,2.244897959,1.729407474,1.936042274
,1.841045451,1.594796952,1.408715252,2.110802029,1.752117347,2.244897959,1.750332563,1.947916737
,1.912818448,1.646454315,1.947853188,1.971809485,1.826150475,2.186588921,2.545082514,1.886217553
,1.024418735,1.792,1.5625,1.619695497,1.731301939,1.875,1.782633498,1.632653061
,1.564181343,1.88416,1.408715252,1.95335277,1.718205489,2.040816327,1.670455564,2.260212049
,1.016569796,1.81156122,1.509301068,1.795433614,1.71142467,2.161170091,2.37037037,2.024619372
,1.010776299,2.507829386,1.071673525,1.619931639,2.646090535,4.100209111,1.791166294,1.831054688
,1.783743839,1.917598071,1.512790133,1.712962963,1.669588446,2.956562874,1.923793301,1.776795057
,1.889920245,2.121768651,1.849264404,1.945495605,1.992984694,2.133591261,1.646090535,1.716962565
,1.871235438,1.920232135,1.889644747,2.037037037,1.727945515,2.12792132,2.173929376,2.676394411
,1.795461074,1.998851941,2.360120703,1.632653061,1.864538022,1.754074074,2.470484135,1.840277778
,1.002395571,1.926355432,1.562692219,1.784251252,1.821844993,2.130826379,2.5872,1.685579076
,1.799835659,0.269568968,1.632653061,1.679238566,1.703719178,2.00938786,2.465499695,1.90464
,1.505712172,1.60982682,1.646090535,1.99567994,1.795433614,2.040816327,1.825413405,2.507715735
,1.857907253,1.602172852,1.646090535,1.920232135,1.754074074,1.777777778,2.5390625,2.754670122
,1.760578335,1.762277198,1.849264404,1.643790581,2.672885317,1.70852165,1.676394411,2.099125364
,1.028573706,2.330889918,1.875,1.816093945,2.500033567,1.7578125,2.508916324,2.143347051
,1.081559586,2.055990064,1.865889213,1.679238566,2.640083644,1.92,2.727439638,1.854380553
,1.704371539,1.71142467,1.71802662,1.777992717,1.749271137,1.39710829,1.622589694,1.809258882
,1.738708336,1.894431693,1.727945515,1.926355432,2.5234375,1.893491124,1.875428669,1.952001315
,1.914688867,1.929012346,2,1.784970548,2.203862397,1.799642805,1.749271137,1.76
,1.814658844,1.796146171,1.643790581,1.806318591,2.749959074,1.801481481,2.098683601,1.725079654
,1.205505726,2.052202465,2.857796068,1.896346714,2.762184843,1.848888889,1.693508781,1.491680905
,1.011999671,2.044999732,1.430706617,1.765215015,1.831054688,1.878287002,1.752337728,1.767277914
,1.061959695,1.822423094,2.044999732,1.972072102,1.602172852,1.955804184,1.822423094,2.024619372
,1.004103229,1.913544248,1.530965147,1.795433614,1.929012346,1.959631589,1.886626335,1.733873096
,1.150582899,1.803155522,1.97421673,1.706873009,2.634805354,2.142380672,1.826433979,2.159593996
,1.081141998,1.396448366,1.869969146,1.583101522,1.739154632,1.849112426,1.749271137,1.784970548
,1.115886522,1.917278569,1.991351843,1.682632106,2.602172852,1.752117347,1.752337728,2.536351166
,1.848612461,1.783735623,1.348448802,1.994926238,1.952001315,2.121768651,1.881676423,2.68
,1.727378956,1.851851852,1.529974755,2.028175008,1.614166945,2.171638402,1.907348633,2.643790581
,1.716000747,2.5,1.760851246,1.638598088,1.952001315,2.069970845,1.684114702,2.759529114
,1.065233629,1.795433614,1.40625,1.808449074,1.682945154,2.099125364,1.707056851,2.606070629
,1.818181818,1.714677641,1.714677641,1.759259259,1.626479791,2.003612864,1.594620207,1.857907253
,1.91974895,1.746527492,1.706873009,1.685579076,2.582909448,2.391581633,2.67638484,2.031311211
,1.889320734,1.801547383,1.45093658,1.731301939,2.275830678,1.959631589,1.791166294,1.776795057
,1.787434909,1.944444444,1.992984694,1.666666667,1.777992717,1.998851941,1.822423094,1.849264404
,1.875,1.651330175,1.593081475,1.809258882,1.880747194,2.12792132,1.822423094,1.851474491
,1.640758733,1.954967743,1.886626335,1.76226204,2.14838416,2.040816327,1.622589694,1.751787453
,1.135298325,2.260212049,2.379053753,1.929904415,1.747837961,2.069970845,1.822423094,1.810674614
,1.658487309,1.884361261,1.746527492,1.924198251,2.12962963,2.072927566,1.574012701,1.863260706
,1.950607233,1.845523182,1.40625,1.486325803,2.015086279,2.099023,1.632303652,1.651330175
,1.860624258,1.249794193,1.442524418,1.675011379,2.648723393,2.12343292,2.277696793,2.031311211
,1.110802029,1.684231469,1.959743084,1.442524418,1.840721262,2.040816327,1.748903001,2.440188901
,1.051089406,2.209688001,1.540740741,1.732274225,2.593760684,1.92,1.955793479,2.5625
,1.903494651,1.678359236,2.260561343,1.778425656,2.663154436,1.981885114,1.752337728,2.511936196
,1.774313284,1.507715735,1.19802985,1.778425656,1.938488244,1.982507289,1.676394411,2.062917709
,2.055933485,1.883058999,1.777992717,1.727945515,2.537445335,2.062971536,1.749271137,1.99567994
,1.900453262,1.614893735,1.602172852,1.727927081,1.989293981,1.762184843,2.659259259,1.889644747
,1.960516519,1.586640487,1.529358216,1.929904415,1.788154038,2.049927114,1.822423094,1.988840557
,1.853240352,1.681044611,1.71142467,1.666666667,2.00938786,2.50061951,1.826433979,1.724537037
,1.612069023,1.517220452,1.582909448,2.159908852,1.668577066,1.898957445,1.822423094,2.699494391
,1.005258518,1.529974755,1.659259259,1.733719889,1.77424195,2.111970869,1.896525565,2.633677068
,1.871982052,1.678359236,1.86920166,2.114714447,1.777777778,2.001888097,1.598129732,1.985866891
,1.967277883,1.619695497,1.77424195,1.704371539,1.940006106,2.00938786,1.572703311,2.086522983
,1.833208114,2.014031083,1.839654145,1.920232135,2.107877034,1.982507289,1.868448504,1.822423094
,1.975440862,2.222222222,1.898148148,1.643501127,1.825185185,2.174377441,1.791166294,1.755829904
,1.133734035,2.8125,1.781924803,1.638598088,1.690962099,1.913070095,1.908202727,2.08
,1.800248063,0.911078717,2.083333333,1.746527492,1.886217657,1.928428696,1.896296296,2.875
,1.873921262,1.69997195,1.762277198,1.511936196,1.916909621,1.953642129,1.760894065,1.759259259
,1.835649436,1.92336589,1.863260706,1.884644669,2.536,1.947853188,1.791166294,2.095717116
,1.97219898,1.751208816,1.993284166,1.841690799,1.69403699,2.133582851,1.628332994,1.760894065
,1.805420581,1.653266164,2.062971536,1.714677641,1.889436201,1.929012346,1.822423094,2.039966341
,1.966904816,1.698928009,1.795993413,1.643790581,1.674231147,2.159288669,1.881676423,1.746408109
,1.004665403,1.741123895,2.12792132,2.022673203,2.158770998,2.199586478,1.825413405,1.92336589
,1.894067892,2.239194944,1.831054688,1.878287002,1.769547325,1.98263628,1.729407474,2.032210537
,1.880787037,1.854380553,1.959104826,1.727927081,1.895043732,1.966317706,2.45093658,2.34375
,1.063685913,1.653775697,,1.6357533,2.059936523,2.011673293,1.748903001,1.808449074
,1.844121281,1.945495605,,2.16,1.777777778,2.056465399,1.955793479,2
,1.978876903,1.875505893,,1.898871528,1.899913666,1.804236179,2.693508781,1.878287002
,1.75260193,1.780989212,,1.895043732,2.002730997,1.896346714,1.994926238,1.682945154
,1.864864249,1.858372259,,1.704334318,1.70852165,2.049927114,1.822423094,2.099125364
,1.675432006,1.884644669,,1.857077833,1.759260603,2.086985558,2.659845839,1.884644669
,1.763200494,1.480849241,,1.795433614,1.930113121,2.06995851,2.57161976,2.294568621
,1.794862287,1.690670144,,2.037037037,1.902230494,1.97421673,2.436286829,2.311626518
,1.118707739,1.795433614,,1.972072102,1.927083333,1.778425656,1.985902926,2.015086279
,1.98,1.69997195,,1.872592593,2.679684219,2.162629758,1.7578125,2.5
,1.680203118,1.83003766,,1.924861311,1.865569273,1.714677641,1.97421673,1.869969146
,1.873678743,1.586713298,,1.982507289,1.875,1.807901903,1.693508781,1.632653061
,1.024272215,1.668577066,,1.929904415,1.604370148,2.040816327,1.739154632,2.024619372
,1.839434735,1.61128812,,1.861931155,1.799407224,2.072927566,1.70568699,2.138176513
,1.930879038,2.00938786,,1.795433614,1.708529285,2.011661808,2.47507544,1.99567994
,1.201352367,1.632653061,,1.943917967,1.694771253,2.052202465,1.748903001,2.039966341
,1.800804027,1.930113121,,1.989293981,2.77664,2.069970845,1.632303652,1.342687389
,1.668097476,1.594441274,,1.926355432,1.788801266,1.861858836,1.628332994,2.035416243
,1.82784,1.656484481,,1.975308642,2.635555556,1.929904415,1.7578125,1.743050338
,1.756768168,1.910174154,,1.68,2.659259259,1.690962099,1.658025228,1.863260706
,1.675432006,1.870488427,,1.524157903,1.778425656,2.164127424,2.528604649,1.947916737
,1.087778794,1.658083843,,1.768261317,2.602172852,2.00938786,1.617996896,1.77818422
,1.63055678,1.760204082,,1.71142467,2.701684282,1.812792591,1.933791993,1.803155522
,1.986554039,1.9921875,,1.835922524,2.661093964,1.795053155,2.539034641,1.880747194
,1.776795057,1.690799167,,1.835922524,1.812792591,,1.276651881,1.865889213
,1.968465391,1.776862516,,1.119880806,1.826150475,,2.455984838,1.99567994
,1.724449872,1.938488244,,1.875,1.975308642,,1.880466472,2
,1.700928221,1.507715735,,1.803155522,2.703719178,,1.695687302,1.920232135
,1.59178086,1.397500989,,2.049927114,1.886626335,,1.771137026,1.743050338
,1.62037037,1.835240912,,1.859355337,,,2.429697137,1.879099854
,1.682924351,1.7152,,1.707175926,,,1.805617728,1.879099854
,1.923093269,1.886260519,,1.758943222,,,1.896525565,1.863260706
,1.729973642,1.895179926,,1.850818859,,,1.408963355,1.896346714
,1.613863473,1.784251252,,1.857077833,,,2.583335243,1.929012346
,1.637868694,1.826150475,,1.955804184,,,1.959611457,1.780989212
,1.674941131,1.690962099,,1.98263628,,,1.643303356,1.813577651
,1.91488,1.682945154,,1.983471074,,,1.638387363,1.905197378
,1.690200649,1.569508499,,1.968703958,,,2.550987177,1.835922524
,1.773276177,2.133582851,,1.857077833,,,1.793459602,1.879099854
,1.695601852,1.714677641,,1.742588872,,,1.785052461,1.805555556
,1.938657407,1.799661664,,1.72238852,,,1.840591431,1.803155522
