Sites,Replicates,Epifaunal Substrate,Embeddedness,Velocity/Depth,Sediment Deposition,Channel Flow Status,Channel Alteration,Frequency of Riffles,Left Bank Stability,Right Bank Stability,Left Bank Vegetative Protection,Right Bank Vegetative Protection,Left Bank Riparian Vegitative Zone Width,Right Bank Riparian Vegetative Zone Width,Physical Habitat Quality Score
1,1,5,5,3,4,7,20,19,3,4,4,5,6,4,89
1,2,4,4,5,3,6,20,17,4,5,6,4,5,3,86
1,3,6,5,6,4,7,20,20,5,5,6,5,6,4,99
2,1,7,3,2,2,7,20,25,2,6,4,5,6,5,94
2,2,6,2,3,3,8,20,22,3,5,5,6,6,4,93
2,3,8,3,1,3,5,20,28,1,4,3,7,6,5,94
3,1,5,3,4,4,6,20,21,6,6,5,3,5,4,92
3,2,4,4,3,5,5,20,19,5,6,4,5,4,3,87
3,3,5,3,5,3,7,20,19,4,6,5,3,5,2,87
4,1,8,5,3,5,4,20,18,3,4,5,6,4,4,89
4,2,7,4,5,3,5,20,20,5,3,4,5,5,4,90
4,3,5,4,3,5,6,20,17,6,5,6,6,3,4,90
5,1,12,15,14,12,7,20,21,11,9,6,7,10,10,154
5,2,10,12,12,10,7,20,22,12,10,8,7,11,11,152
5,3,11,15,14,11,8,20,20,10,10,8,8,10,10,155
6,1,13,13,12,13,6,20,18,10,9,8,9,11,10,152
6,2,12,11,15,10,5,20,19,9,10,7,8,12,10,148
6,3,10,13,13,12,7,20,18,11,9,9,9,10,10,151
7,1,11,11,13,14,6,20,17,10,8,6,7,12,9,144
7,2,13,12,12,12,8,20,19,11,11,7,8,13,11,157
7,3,12,11,10,12,8,20,16,10,10,7,7,12,10,145
8,1,14,14,13,10,7,20,19,10,11,8,6,11,10,153
8,2,10,12,15,11,5,20,23,9,9,6,7,10,12,149
8,3,11,15,14,9,7,20,20,10,10,6,6,12,10,150
