station,date,discharge
11120000,01-01-19,0.14
11120000,02-01-19,0.16
11120000,03-01-19,0.16
11120000,04-01-19,0.33
11120000,05-01-19,17.3
11120000,06-01-19,25.9
11120000,07-01-19,63.1
11120000,08-01-19,0.96
11120000,09-01-19,0.41
11120000,10-01-19,0.4
11120000,11-01-19,3.09
11120000,12-01-19,47.9
11120000,13-01-19,1.43
11120000,14-01-19,0.47
11120000,15-01-19,51.6
11120000,16-01-19,17.5
11120000,17-01-19,206
11120000,18-01-19,11.5
11120000,19-01-19,3.11
11120000,20-01-19,1.55
11120000,21-01-19,0.65
11120000,22-01-19,2.08
11120000,23-01-19,0.52
11120000,24-01-19,0.32
11120000,25-01-19,0.32
11120000,26-01-19,0.28
11120000,27-01-19,0.27
11120000,28-01-19,0.27
11120000,29-01-19,0.27
11120000,30-01-19,0.28
11120000,31-01-19,96.2
11120000,01-02-19,4.94
11120000,02-02-19,695
11120000,03-02-19,96.4
11120000,04-02-19,214
11120000,05-02-19,54.5
11120000,06-02-19,17
11120000,07-02-19,9.22
11120000,08-02-19,6.55
11120000,09-02-19,33.1
11120000,10-02-19,14.1
11120000,11-02-19,5.67
11120000,12-02-19,3.63
11120000,13-02-19,3.65
11120000,14-02-19,113
11120000,15-02-19,37.6
11120000,16-02-19,21.3
11120000,17-02-19,11.8
11120000,18-02-19,8.56
11120000,19-02-19,8.61
11120000,20-02-19,5.04
11120000,21-02-19,4.39
11120000,22-02-19,3.37
11120000,23-02-19,2.71
11120000,24-02-19,2.39
11120000,25-02-19,2.09
11120000,26-02-19,1.83
11120000,27-02-19,8.55
11120000,28-02-19,10.3
11120000,01-03-19,2.27
11120000,02-03-19,142
11120000,03-03-19,30.2
11120000,04-03-19,12.2
11120000,05-03-19,40.8
11120000,06-03-19,350
11120000,07-03-19,62
11120000,08-03-19,27.4
11120000,09-03-19,18.2
11120000,10-03-19,13.2
11120000,11-03-19,13
11120000,12-03-19,8.35
11120000,13-03-19,6.46
11120000,14-03-19,5.83
11120000,15-03-19,4.82
11120000,16-03-19,4.09
11120000,17-03-19,3.73
11120000,18-03-19,3.21
11120000,19-03-19,3.06
11120000,20-03-19,3.81
11120000,21-03-19,5.5
11120000,22-03-19,2.83
11120000,23-03-19,2.45
11120000,24-03-19,2.2
11120000,25-03-19,1.84
11120000,26-03-19,1.66
11120000,27-03-19,1.88
11120000,28-03-19,1.62
11120000,29-03-19,1.5
11120000,30-03-19,1.41
11120000,31-03-19,1.28
11120000,01-04-19,1.16
11120000,02-04-19,1.01
11120000,03-04-19,0.87
11120000,04-04-19,0.87
11120000,05-04-19,0.88
11120000,06-04-19,0.89
11120000,07-04-19,0.61
11120000,08-04-19,0.59
11120000,09-04-19,0.4
11120000,10-04-19,0.32
11120000,11-04-19,0.32
11120000,12-04-19,0.32
11120000,13-04-19,0.33
11120000,14-04-19,0.33
11120000,15-04-19,0.35
11120000,16-04-19,0.34
11120000,17-04-19,0.35
11120000,18-04-19,0.35
11120000,19-04-19,0.36
11120000,20-04-19,0.36
11120000,21-04-19,0.37
11120000,22-04-19,0.37
11120000,23-04-19,0.38
11120000,24-04-19,0.38
11120000,25-04-19,0.39
11120000,26-04-19,0.37
11120000,27-04-19,0.33
11120000,28-04-19,0.33
11120000,29-04-19,0.64
11120000,30-04-19,0.4
11120000,01-05-19,0.38
11120000,02-05-19,0.39
11120000,03-05-19,0.39
11120000,04-05-19,0.39
11120000,05-05-19,0.39
11120000,06-05-19,0.44
11120000,07-05-19,0.54
11120000,08-05-19,0.6
11120000,09-05-19,0.66
11120000,10-05-19,0.74
11120000,11-05-19,0.74
11120000,12-05-19,0.71
11120000,13-05-19,0.7
11120000,14-05-19,0.74
11120000,15-05-19,0.74
11120000,16-05-19,15.9
11120000,17-05-19,0.3
