Site,Transect Replicate (m),Number,Pre-ash weight,Post ash weight,Ash Free Dry Mass
1,1,271,0.036,0.0346,0.0014
1,2,272,0.0354,0.0307,0.0047
1,3,273,0.0444,0.0401,0.0043
1,4,274,0.0364,0.0328,0.0036
1,5,275,0.0424,0.0382,0.0042
2,1,286,0.0341,0.0328,0.0013
2,2,287,0.0369,0.0338,0.0031
2,3,288,0.035,0.031,0.004
2,4,289,0.0372,0.0329,0.0043
2,5,290,0.0325,0.0304,0.0021
3,1,296,0.0346,0.031,0.0036
3,2,297,0.0347,0.0328,0.0019
3,3,298,0.0363,0.0338,0.0025
3,4,299,0.0325,0.0313,0.0012
3,5,300,0.0392,0.0358,0.0034
4,1,86,0.0324,0.032,0.0004
4,2,87,0.0329,0.0324,0.0005
4,3,88,0.0348,0.0341,0.0007
4,4,89,0.0326,0.032,0.0006
4,5,90,0.0343,0.0341,0.0002
5,1,96,0.0337,0.0333,0.0004
5,2,97,0.0328,0.0326,0.0002
5,3,98,0.0342,0.0339,0.0003
5,4,99,0.0346,0.0341,0.0005
5,5,100,0.032,0.0313,0.0007
6,1,106,0.0346,0.0343,0.0003
6,2,107,0.0352,0.0348,0.0004
6,3,108,0.0338,0.0334,0.0004
6,4,109,0.036,0.0357,0.0003
6,5,110,0.0343,0.0341,0.0002
