Site,Transect Replicate (m),Number,Flour before acid (Rb),Flour after acid (Ra),Flour Difference (before-after),Dilution,Diff*Dilution,Gain,Fs,Tau,mls DI,mls Filtered,area sampled (cm2),chla in extract (ug),area filtered (cm2),chla_ug/cm2,chla_mg/m2
1,1,1,101,96,5,10,50,10,3,4,500,100,15.9279,10,3.18558,3.139145776,31.39145776
1,2,2,173,141,32,1,32,10,3,4,500,100,15.9279,6.4,3.18558,2.009053296,20.09053296
1,3,3,114,107,7,10,70,10,3,4,500,100,15.9279,14,3.18558,4.394804086,43.94804086
1,4,4,194,87,107,1,107,10,3,4,500,100,15.9279,21.4,3.18558,6.71777196,67.1777196
1,5,5,91,43,48,1,48,10,3,4,500,100,15.9279,9.6,3.18558,3.013579945,30.13579945
2,1,55,294,178,116,1,116,10,3,4,500,100,15.9279,23.2,3.18558,7.2828182,72.828182
2,2,65,476,276,200,1,200,10,3,4,500,100,15.9279,40,3.18558,12.5565831,125.565831
2,3,75,136,86,50,1,50,10,3,4,500,100,15.9279,10,3.18558,3.139145776,31.39145776
2,4,85,665,433,232,1,232,10,3,4,500,100,15.9279,46.4,3.18558,14.5656364,145.656364
2,5,95,560,389,171,1,171,10,3,4,500,100,15.9279,34.2,3.18558,10.73587855,107.3587855
3,1,55,512,310,202,1,202,10,3,4,500,100,15.9279,40.4,3.18558,12.68214893,126.8214893
3,2,65,228,150,78,1,78,10,3,4,500,100,15.9279,15.6,3.18558,4.89706741,48.9706741
3,3,75,454,257,197,1,197,10,3,4,500,100,15.9279,39.4,3.18558,12.36823436,123.6823436
3,4,85,668,420,248,1,248,10,3,4,500,100,15.9279,49.6,3.18558,15.57016305,155.7016305
3,5,95,357,314,43,1,43,10,3,4,500,100,15.9279,8.6,3.18558,2.699665367,26.99665367
4,1,55,49,46,3,1,3,10,3,4,500,100,15.9279,0.6,3.18558,0.188348747,1.883487465
4,2,65,42,29,13,1,13,10,3,4,500,100,15.9279,2.6,3.18558,0.816177902,8.161779017
4,3,75,99,83,16,1,16,10,3,4,500,100,15.9279,3.2,3.18558,1.004526648,10.04526648
4,4,85,6,3,3,1,3,10,3,4,500,100,15.9279,0.6,3.18558,0.188348747,1.883487465
4,5,95,34,9,25,1,25,10,3,4,500,100,15.9279,5,3.18558,1.569572888,15.69572888
5,1,55,6,3,3,1,3,10,3,4,500,100,15.9279,0.6,3.18558,0.188348747,1.883487465
5,2,65,50,32,18,1,18,10,3,4,500,100,15.9279,3.6,3.18558,1.130092479,11.30092479
5,3,75,39,32,7,1,7,10,3,4,500,100,15.9279,1.4,3.18558,0.439480409,4.394804086
5,4,85,14,11,3,1,3,10,3,4,500,100,15.9279,0.6,3.18558,0.188348747,1.883487465
5,5,95,4,3,1,1,1,10,3,4,500,100,15.9279,0.2,3.18558,0.062782916,0.627829155
6,1,55,42,32,10,1,10,10,3,4,500,100,15.9279,2,3.18558,0.627829155,6.278291551
6,2,65,11,8,3,1,3,10,3,4,500,100,15.9279,0.6,3.18558,0.188348747,1.883487465
6,3,75,16,13,3,1,3,10,3,4,500,100,15.9279,0.6,3.18558,0.188348747,1.883487465
6,4,85,13,12,1,1,1,10,3,4,500,100,15.9279,0.2,3.18558,0.062782916,0.627829155
6,5,95,43,38,5,1,5,10,3,4,500,100,15.9279,1,3.18558,0.313914578,3.139145776
