Site,Fish GMM
1,1.634805354
2,1.65569273
3,1.5625
4,1.602172852
5,2.032210537
6,2.592144919
1,1.756587552
2,1.202321347
3,1.83003766
4,1.929012346
5,1.777777778
6,1.741982507
1,1.603491116
2,1.84619516
3,1.408715252
4,2.634805354
5,1.920128995
6,1.926825261
1,1.825892618
2,1.073486328
3,1.478531875
4,1.739154632
5,1.714677641
6,1.679314899
1,1.605935772
2,1.720926466
3,1.5625
4,2.602172852
5,1.788413778
6,2.059567082
1,1.75748383
2,1.475993276
3,1.408715252
4,1.952001315
5,1.766081971
6,2.014272968
1,1.399663406
2,1.791568796
3,1.509301068
4,1.614166945
5,1.915616427
6,1.814744802
1,1.614973353
2,1.773937724
3,1.071673525
4,1.952001315
5,1.835240912
6,1.665808609
1,1.564633591
2,1.720116618
3,1.512790133
4,1.682945154
5,2.073006269
6,2.500342936
1,1.762228701
2,1.661093964
3,1.849264404
4,1.626479791
5,1.94078922
6,2.54465167
1,1.313112114
2,1.646090535
3,1.889644747
4,2.582909448
5,1.812457189
6,1.668828506
1,1.704903399
2,1.776643953
3,1.360120703
4,2.275830678
5,1.683436807
6,1.849944139
1,1.753416911
2,1.754530589
3,1.562692219
4,1.777992717
5,2.57789353
6,2.124709495
1,1.586183063
2,1.606785504
3,1.632653061
4,1.880747194
5,2.389622212
6,1.744283921
1,1.866156825
2,2.08
3,1.646090535
4,2.14838416
5,1.760851246
6,1.800025044
1,1.729775719
2,1.518518519
3,1.646090535
4,1.747837961
5,1.594359327
6,1.828542953
1,1.864864249
2,1.780989212
3,1.849264404
4,2.12962963
5,1.593532121
6,1.948111061
1,1.752719542
2,1.555805994
3,1.875
4,2.015086279
5,2.489427195
6,1.712997746
1,1.733873096
2,1.621972318
3,1.865889213
4,2.648723393
5,2.548663811
6,2.032210537
1,1.520354173
2,1.717382455
3,1.71802662
4,1.840721262
5,1.942793273
6,1.777777778
1,1.71
2,1.655475974
3,1.727945515
4,2.593760684
5,1.779850381
6,1.920128995
1,1.196339982
2,1.444444444
3,2
4,2.663154436
5,1.679684219
6,1.714677641
1,1.5978771
2,1.301131214
3,1.643790581
4,1.938488244
5,1.91699782
6,1.788413778
1,1.086080988
2,1.714677641
3,1.857796068
4,2.537445335
5,1.83750112
6,1.766081971
1,1.071902149
2,1.85048011
3,1.4307
4,1.989293981
5,1.905569487
6,1.915616427
1,1.868684022
2,1.66317706
3,1.449997322
4,1.788154038
5,1.731142309
6,1.835240912
1,1.914688867
2,1.624070675
3,1.530965147
4,2.00938786
5,1.83950831
6,2.073006269
1,1.857250837
2,1.825447945
3,1.742167295
4,1.668577066
5,1.808016904
6,1.94078922
1,1.829767865
2,1.669588446
3,1.869969146
4,1.77424195
5,1.658163265
6,1.812457189
1,1.035691509
2,1.813670724
3,1.135184342
4,1.777777778
5,1.896525565
6,1.683436807
1,1.986038788
2,1.603055246
3,1.348448802
4,1.940006106
5,1.795433614
6,2.57789353
1,1.805420581
2,1.740897201
3,1.529974755
4,2.107877034
5,1.886260519
6,2.389622212
1,1.711314903
2,1.741297707
3,1.760851246
4,1.825185185
5,1.76149453
6,1.760851246
1,1.535357994
2,1.675011379
3,1.40625
4,1.690962099
5,1.568054866
6,1.594359327
1,1.694019136
2,1.706666667
3,1.714677641
4,1.886217657
5,1.533102679
6,1.593532121
1,1.153975218
2,1.676394411
3,1.706873009
4,1.916909621
5,1.751609332
6,2.489427195
1,1.529896441
2,1.784251252
3,1.45093658
4,2.536
5,2.450598187
6,2.548663811
1,1.697576235
2,1.784251252
3,1.992984694
4,1.69403699
5,1.729407474
6,1.942793273
1,1.96682723
2,1.764566292
3,1.593081475
4,1.889436201
5,2.127906977
6,1.779850381
1,1.143502918
2,1.599699257
3,1.886626335
4,1.674231147
5,1.752117347
6,1.679684219
1,1.203899516
2,1.627604167
3,1.379053753
4,2.158770998
5,2.121768651
6,1.91699782
1,1.365437548
2,1.69178611
3,1.746527492
4,1.769547325
5,2.171638402
6,1.83750112
1,1.407921884
2,1.702761929
3,1.40625
4,1.895043732
5,2.069970845
6,1.905569487
1,1.342509548
2,1.76226204
